"date","sst_anom"
1996-10-15,-0.864970236976457
1996-11-15,-0.38074591133254
1996-12-15,-0.64699267097571
1997-01-15,0.25414561671201
1997-02-15,0.3892101327319
1997-03-15,1.3789105934368
1997-04-15,-0.460374108248086
1997-05-15,-1.16516150767748
1997-06-15,-1.10675271915269
1997-07-15,1.58481131114838
1997-08-15,0.895097680038214
1997-09-15,0.110434966325182
1997-10-15,-0.0162701154794436
1997-11-15,-1.47780636533285
1997-12-15,-0.669950614369973
1998-01-15,0.0465245569649772
1998-02-15,-0.683444033243505
1998-03-15,-1.38631503455968
1998-04-15,-0.687238847757614
1998-05-15,-0.181027442573403
1998-06-15,1.20893645786539
1998-07-15,1.90714783631026
1998-08-15,1.66973274468212
1998-09-15,-0.538249875699298
1998-10-15,0.843661166561472
1998-11-15,0.491371023275889
